order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,pred1,delivery_charges2,residual
ORD018010,ID5002595089,2022-08-10,Thompson,"[('pearTV', 1), ('Candle Inferno', 1), ('Toshika 750', 2), ('Olivia x460', 1)]",16605,62.887,-37.8123896,144.9537134,0,Winter,False,0.58519,best 160 dollars i have ever spend got it in the mail very next day the product was in very good condition would buy again,True,63.476751593184034,62.887,0.5897515931840331
ORD109542,ID3144992693,2022-01-16,Bakers,"[('Olivia x460', 2), ('Alcon 10', 1), ('iAssist Line', 1)]",13625,46.385,-37.8147426,144.988047,50,Summer,True,0.8236700000000001,"five stars awesome phone, does more than i expected.",True,93.29823868388986,92.77,0.5282386838898674
ORD121881,ID0576860570,2022-01-17,Bakers,"[('Toshika 750', 1), ('Lucent 330S', 2)]",6780,81.332,-37.8244161,144.9891642,0,Summer,False,1.69155,tammy. some stuff would like some points please.,True,81.90160989734784,81.332,0.5696098973478456
ORD161497,ID2991935465,2022-04-28,Thompson,"[('Thunder line', 2), ('Candle Inferno', 2), ('Lucent 330S', 1)]",6450,40.141,-37.8061375,144.9572052,50,Autumn,True,1.15065,nice phone. saved hundreds vs a new s7. works for me. nice phone.,True,80.64189821985761,80.282,0.3598982198576124
ORD295443,ID0207093528,2022-03-28,Bakers,"[('Toshika 750', 1), ('Olivia x460', 2)]",6770,40.216,-37.8011713,145.0045171,50,Autumn,True,1.27746,five stars like these old phone very reliable,True,81.15462391637735,80.432,0.7226239163773442
ORD341843,ID0227330394,2022-07-24,Bakers,"[('Lucent 330S', 2), ('Thunder line', 2), ('Toshika 750', 2)]",15460,63.659,-37.8042304,144.9947019,0,Winter,False,0.64351,"for my 3-year-old, it serves it purpose and very cost effective.",True,63.8193107447977,63.659,0.16031074479769813
ORD403307,ID1900234252,2022-05-11,Nickolson,"[('Candle Inferno', 1), ('Universe Note', 1)]",3880,66.059,-37.8076385,144.96202119999995,0,Autumn,True,1.38781,"didn't stay charged, defective phone didn't hold a charge, and went to roaming after a day. dropped calls like crazy, verizon tested it and said bad phone.",False,66.59034466836701,66.059,0.5313446683670122
ORD246776,ID0206204618,2022-02-13,Thompson,"[('iAssist Line', 1), ('Universe Note', 2), ('iStream', 2), ('pearTV', 2)]",22045,78.65,-37.81730039999999,144.92579719999995,25,Summer,True,1.94025,"its a basic phone i got this for my dad, the phone is super basic/ simple to use. he likes it, i feel it was a good buy.",True,104.38768640564862,104.60450000000002,0.21681359435139314
ORD232750,ID0723959155,2022-01-04,Bakers,"[('Candle Inferno', 1), ('Toshika 750', 1)]",4750,48.659,-37.8023453,145.00481609999997,50,Summer,True,1.1982700000000002,great phone for the price i didn't expect the phone to work so good. the camera quality isn't the best but everything else is great! i would definitely recommend this to others who would prefer better battery life than camera quality,True,97.01862335545019,97.318,0.2993766445498096
ORD408167,ID4520380512,2022-08-17,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 2), ('pearTV', 1)]",24640,65.047,-37.811791,144.9565361,0,Winter,False,0.83835,"five stars fantastic phone, had no sim card, but works geeat",True,64.96375904898846,65.047,0.08324095101153262
